Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
22,Male,Mechanical,0,6.914633136,1,0,0
22,Male,Computer Science,1,6.973174674,0,0,0
21,Male,Civil,0,6,0,0,0
21,Male,Electrical,1,7,0,0,1
19,Male,Information Technology,2,6,0,0,1
22,Male,Electrical,2,6,0,0,1
21,Female,Civil,1,7,0,0,0
21,Male,Computer Science,1,5.903027016,0,0,1
21,Male,Civil,2,7,1,1,0
19,Male,Civil,1,6,0,0,0
22,Male,Computer Science,1,6,0,0,0
22,Female,Information Technology,0,8.075910475,0,0,1
22,Male,Mechanical,0,6,1,0,0
23,Male,Electrical,2,7,0,0,0
21,Male,Computer Science,1,8,0,0,1
21,Male,Information Technology,1,6,0,0,0
19,Male,Information Technology,0,6,0,0,0
22,Male,Computer Science,1,9,0,0,1
21,Male,Electronics And Communication,1,7,0,0,0
22,Male,Civil,0,6,0,0,0
22,Male,Electrical,0,6.988415559,0,0,0
21,Male,Civil,0,6,0,0,0
22,Male,Information Technology,2,6,0,0,1
22,Male,Mechanical,1,6,1,0,0
21,Male,Electrical,1,7,1,0,1
20,Male,Information Technology,1,7,0,1,0
20,Male,Computer Science,1,7,0,0,0
24,Male,Electronics And Communication,0,6,0,0,1
21,Female,Electronics And Communication,0,8,0,0,1
20,Male,Electronics And Communication,1,7,0,0,1
21,Male,Civil,0,6,0,0,0
21,Male,Civil,1,7,0,0,0
21,Male,Information Technology,1,7,0,0,0
22,Male,Information Technology,0,5.960931382,0,0,0
22,Male,Information Technology,1,8,0,0,1
22,Male,Computer Science,1,5.986434511,0,0,0
21,Male,Computer Science,0,8,0,0,1
22,Male,Electrical,0,5,0,0,0
21,Male,Civil,1,6,0,0,0
21,Male,Mechanical,0,6,1,0,0
22,Female,Computer Science,0,8.902024775,1,0,1
20,Male,Electronics And Communication,0,7,0,0,0
21,Male,Computer Science,0,6.04482132,0,0,0
21,Male,Electronics And Communication,0,7,0,0,0
23,Male,Information Technology,3,8,1,0,1
20,Male,Information Technology,1,7,0,0,0
20,Male,Mechanical,1,8,1,0,1
22,Female,Computer Science,1,8,1,1,1
22,Male,Electronics And Communication,0,7.939112673,0,0,1
22,Male,Mechanical,2,9,0,0,1
21,Female,Electrical,1,8.002856176,0,1,1
22,Male,Computer Science,1,8.052878431,0,1,1
22,Male,Mechanical,0,6,1,0,0
22,Male,Electronics And Communication,1,8.030745099,0,1,1
20,Male,Civil,0,6,1,0,0
22,Male,Computer Science,0,7,0,1,1
22,Male,Electronics And Communication,2,6.09693938,0,0,1
22,Male,Information Technology,1,7.028357664,0,0,0
21,Male,Computer Science,0,6,0,0,0
21,Male,Civil,0,5.914658235,0,0,0
21,Male,Computer Science,1,8.007419379,0,0,1
21,Female,Computer Science,0,7,1,0,0
22,Male,Civil,1,7,0,0,0
23,Male,Electronics And Communication,1,6,0,1,0
21,Male,Civil,0,7.946806176,0,0,1
21,Male,Electrical,0,8.038964135,0,0,1
22,Female,Electrical,2,8,0,0,1
21,Male,Information Technology,0,6.921335868,0,0,0
22,Female,Computer Science,2,5.921057936,1,1,0
22,Female,Information Technology,1,6,1,0,0
24,Male,Electrical,0,7,0,0,0
21,Male,Mechanical,2,8,1,0,1
21,Female,Information Technology,1,8.090239837,1,0,1
21,Male,Mechanical,1,8,1,1,1
21,Female,Information Technology,1,5.925084735,0,0,0
21,Male,Civil,1,7.08639428,1,0,0
21,Male,Mechanical,0,9,1,0,1
22,Male,Mechanical,0,8,0,0,1
20,Male,Electrical,3,7,0,0,1
22,Female,Computer Science,1,7,1,0,0
21,Male,Information Technology,0,6,0,0,0
21,Male,Mechanical,1,6,1,1,0
20,Male,Electronics And Communication,1,8,1,1,1
22,Male,Information Technology,1,8,1,0,1
21,Male,Civil,0,7,0,0,0
21,Male,Electrical,1,8,0,0,1
21,Male,Civil,1,6,0,0,0
22,Female,Information Technology,0,7,0,1,0
21,Male,Mechanical,0,8,1,0,1
22,Female,Information Technology,2,7.900483216,0,0,1
21,Male,Mechanical,1,7,1,0,0
24,Male,Computer Science,0,7,0,1,1
22,Female,Computer Science,1,6,1,0,0
21,Male,Computer Science,0,6,0,1,1
22,Female,Electronics And Communication,1,7,1,0,0
20,Male,Computer Science,1,7,0,0,0
20,Male,Information Technology,0,8,0,0,1
22,Male,Computer Science,0,6,0,0,1
21,Male,Information Technology,1,8,0,0,1
23,Male,Electrical,0,5,0,0,0
23,Male,Electronics And Communication,1,8,1,1,1
22,Male,Mechanical,1,6.923119548,1,0,0
22,Male,Mechanical,2,8.998794898,1,0,1
22,Male,Information Technology,1,8.041141638,0,0,1
25,Male,Computer Science,1,8,0,0,1
21,Male,Civil,0,7.968576922,1,0,1
21,Male,Computer Science,1,8,0,0,1
21,Male,Electrical,0,7,0,0,0
22,Male,Computer Science,1,5,0,0,0
20,Female,Computer Science,0,6,1,0,0
21,Male,Information Technology,1,6,0,0,0
21,Male,Computer Science,1,6,0,0,1
20,Male,Computer Science,0,6,0,1,0
21,Female,Computer Science,1,8,1,1,1
22,Male,Mechanical,1,6.913558453,1,0,0
21,Male,Computer Science,2,5,0,1,0
23,Male,Information Technology,1,6,0,0,0
21,Male,Civil,1,6,0,0,0
20,Male,Computer Science,1,8,0,0,1
21,Male,Information Technology,0,6.078781678,0,0,1
20,Male,Computer Science,1,8,0,0,1
21,Female,Information Technology,0,8,0,0,1
23,Male,Information Technology,1,6.952048393,1,0,1
22,Male,Mechanical,0,6.092071542,1,0,1
19,Male,Information Technology,3,7,0,0,1
21,Female,Computer Science,0,8,1,1,1
21,Male,Electrical,0,8,0,0,1
20,Male,Electrical,1,7,0,1,1
21,Female,Electrical,1,8.900100374,0,0,1
19,Female,Information Technology,1,6,0,0,0
19,Male,Computer Science,0,6,0,1,0
22,Male,Civil,1,7,0,0,0
20,Male,Information Technology,0,9,0,0,1
21,Male,Electronics And Communication,0,8,0,0,1
19,Male,Electronics And Communication,1,7,0,1,0
22,Male,Information Technology,1,8,0,0,1
20,Male,Computer Science,0,7,0,0,0
21,Male,Electronics And Communication,0,6,0,1,0
22,Female,Mechanical,1,7,1,0,0
26,Male,Computer Science,1,6.949830408,0,0,1
22,Male,Information Technology,0,5.99168389,0,0,0
22,Male,Mechanical,0,6.095581778,1,0,1
23,Male,Computer Science,1,7.903346272,0,0,1
24,Male,Computer Science,1,7.085520243,0,0,1
20,Male,Civil,2,5,0,0,0
22,Male,Information Technology,0,7,0,0,1
21,Male,Electronics And Communication,1,7,0,0,1
20,Male,Civil,1,9,0,0,1
21,Male,Electronics And Communication,0,8,0,0,1
26,Male,Computer Science,3,7.01637524,0,0,1
24,Male,Mechanical,0,6,0,0,1
21,Male,Mechanical,1,7,1,0,0
22,Female,Information Technology,2,8,0,0,1
21,Male,Computer Science,0,6.009972334,0,0,0
21,Male,Electronics And Communication,0,6.936903877,0,0,1
23,Male,Information Technology,0,8.066538761,0,0,1
20,Female,Mechanical,1,7,0,0,0
22,Male,Computer Science,2,6.986521205,0,0,1
22,Male,Civil,0,8,1,0,1
22,Male,Electronics And Communication,2,6,0,0,1
21,Male,Electronics And Communication,0,9,0,1,1
21,Male,Electrical,0,6,0,0,1
22,Male,Civil,0,7,0,0,0
23,Male,Mechanical,0,8,1,1,1
22,Male,Computer Science,1,7.022505734,0,0,1
26,Male,Information Technology,0,8,0,0,1
19,Male,Electronics And Communication,1,8,0,1,1
21,Male,Electronics And Communication,0,5.989845887,0,0,0
22,Female,Information Technology,0,7.926263503,0,0,1
21,Female,Computer Science,0,7,1,1,1
22,Male,Information Technology,0,6,0,0,1
21,Female,Computer Science,1,7,1,0,0
21,Male,Civil,1,9.094495255,0,0,1
22,Male,Electrical,1,7,0,0,0
21,Female,Computer Science,1,7.904195589,1,0,1
20,Male,Information Technology,0,6,0,0,0
21,Male,Electronics And Communication,1,6.953483166,0,0,1
20,Male,Civil,2,7,0,0,0
20,Male,Electronics And Communication,0,6,0,0,0
21,Male,Electrical,1,7.071231083,0,0,1
22,Male,Electrical,1,7.095341453,0,0,0
23,Male,Electronics And Communication,1,6,0,1,1
21,Male,Electrical,3,6.918288139,0,0,1
24,Male,Electronics And Communication,1,5.922315323,0,1,1
21,Male,Information Technology,2,6.929864703,0,0,1
21,Male,Civil,0,8,0,0,1
22,Male,Mechanical,1,7.981393213,1,0,1
20,Male,Mechanical,0,6,1,1,0
22,Male,Computer Science,1,7,0,0,1
21,Male,Electrical,0,8,0,0,1
21,Male,Mechanical,1,8,1,0,1
22,Male,Computer Science,0,6,0,0,0
21,Male,Electrical,2,8,0,1,1
22,Female,Information Technology,1,6,1,0,0
22,Male,Electronics And Communication,1,7,0,0,0
24,Male,Information Technology,0,8.039518628,0,0,1
21,Male,Mechanical,0,6,1,0,0
21,Male,Electronics And Communication,0,7,0,0,1
20,Male,Information Technology,1,6.932468127,0,0,1
22,Female,Information Technology,0,6,0,0,1
23,Male,Computer Science,0,6,0,0,0
22,Male,Electrical,0,5.958449399,0,0,0
19,Male,Civil,0,7,0,0,0
21,Male,Electronics And Communication,1,7,0,1,1
23,Male,Computer Science,1,7,0,0,0
22,Male,Civil,0,6,1,0,0
21,Female,Civil,1,8,0,1,1
21,Female,Computer Science,1,7,1,0,1
23,Male,Civil,1,8,0,0,1
22,Female,Mechanical,1,8,0,0,1
21,Female,Computer Science,1,5.999444885,1,0,0
21,Female,Computer Science,1,6.005424236,1,0,0
20,Male,Information Technology,0,6,0,0,0
24,Male,Information Technology,0,8,0,0,1
22,Male,Electronics And Communication,2,8.056370086,0,0,1
22,Male,Mechanical,0,9.08143922,0,0,1
20,Male,Computer Science,1,8,0,0,1
22,Male,Information Technology,0,5.983916236,0,1,0
22,Male,Electrical,0,7,0,0,0
22,Male,Electronics And Communication,1,7,1,1,1
23,Male,Electronics And Communication,1,6,0,0,0
21,Male,Electronics And Communication,1,6,0,1,0
21,Male,Electronics And Communication,2,7,0,0,1
21,Male,Information Technology,1,6,0,0,1
24,Male,Computer Science,1,5.973058272,0,0,1
21,Male,Computer Science,0,8,0,0,1
20,Male,Computer Science,2,6,0,0,1
22,Male,Civil,1,7,0,0,0
22,Male,Civil,0,8.085954406,1,0,1
21,Male,Computer Science,0,7,0,0,0
21,Female,Information Technology,0,7.01834707,0,0,0
21,Male,Mechanical,0,7.085564087,1,0,0
24,Male,Mechanical,0,6,1,0,1
22,Male,Computer Science,2,6.03881142,0,0,1
23,Male,Mechanical,1,5.968807077,1,1,1
22,Male,Mechanical,1,6,0,0,0
22,Male,Information Technology,1,7,1,0,0
21,Male,Electrical,0,9,0,0,1
22,Male,Electronics And Communication,0,7,0,0,0
20,Male,Electronics And Communication,0,7,0,0,1
21,Female,Information Technology,0,7,0,0,0
21,Female,Electronics And Communication,0,7,0,0,1
21,Male,Computer Science,2,7.047369017,0,0,1
21,Male,Electronics And Communication,1,7.93557583,0,0,1
21,Male,Information Technology,0,5.000888501,0,1,0
20,Male,Information Technology,1,7,0,0,0
21,Male,Computer Science,1,9.006327168,0,0,1
22,Male,Mechanical,1,7,1,0,0
23,Male,Information Technology,2,6,0,0,1
22,Female,Electronics And Communication,1,7,1,0,0
22,Male,Electronics And Communication,0,7.037141189,0,0,0
22,Female,Information Technology,1,7.075061845,1,0,1
21,Female,Computer Science,1,9,1,0,1
21,Female,Mechanical,1,8.01502241,1,0,1
21,Female,Electronics And Communication,0,8,0,0,1
21,Male,Civil,1,9,0,0,1
21,Male,Computer Science,0,7,0,1,0
21,Male,Computer Science,2,7,0,0,1
21,Female,Civil,1,8,0,0,1
21,Male,Computer Science,1,6.088500902,0,0,0
22,Male,Civil,0,7,0,0,0
22,Male,Mechanical,0,7.080444666,1,1,0
20,Male,Mechanical,0,6,1,1,0
21,Male,Electronics And Communication,2,8,0,0,1
22,Female,Information Technology,1,7.94262678,0,0,1
23,Male,Electrical,0,4.992464598,0,0,0
22,Male,Information Technology,1,8,0,0,1
21,Male,Information Technology,1,6.045137134,0,0,1
21,Male,Mechanical,1,7.085543983,1,0,0
21,Male,Electrical,1,7.094648082,0,0,1
21,Male,Electrical,0,8.012630967,0,0,1
25,Male,Electrical,0,8,0,0,1
22,Male,Computer Science,1,8.094432045,0,0,1
26,Male,Information Technology,1,6,1,0,1
21,Male,Information Technology,0,8,0,0,1
22,Female,Computer Science,1,6,1,0,1
22,Female,Electrical,1,6.063139573,0,1,0
21,Male,Information Technology,0,6.97650727,0,0,0
21,Male,Computer Science,2,8.095543644,0,1,1
22,Male,Computer Science,0,6.926154569,0,0,0
21,Female,Electronics And Communication,3,9,0,0,1
21,Male,Mechanical,0,7.9800157,1,0,1
21,Male,Mechanical,0,7,1,0,0
21,Male,Computer Science,1,7,0,0,0
25,Male,Computer Science,0,8.012787945,0,0,1
21,Male,Electrical,0,7,0,0,0
20,Male,Mechanical,0,7,1,0,0
21,Female,Information Technology,0,6,0,0,0
22,Female,Computer Science,1,8,1,0,1
20,Male,Civil,0,6,0,0,0
21,Male,Electrical,1,7,0,0,1
23,Female,Computer Science,1,6,1,0,0
21,Male,Information Technology,0,6,0,1,0
21,Male,Electrical,0,7,0,0,0
21,Male,Computer Science,1,8,0,0,1
23,Male,Civil,0,7.903184668,0,0,1
21,Male,Electrical,0,7.997171288,0,0,1
22,Male,Information Technology,1,8,0,0,1
22,Male,Civil,0,6,0,0,0
21,Male,Computer Science,2,8,0,0,1
22,Male,Civil,1,6,0,0,0
21,Male,Computer Science,0,7,0,0,0
21,Female,Electronics And Communication,0,9,0,0,1
21,Male,Information Technology,2,7,0,0,1
21,Male,Information Technology,0,8,0,0,1
21,Male,Civil,1,7,0,0,0
22,Male,Electronics And Communication,2,9.085658357,0,0,1
21,Male,Electronics And Communication,0,6,0,0,0
22,Male,Information Technology,0,8.069945208,0,1,1
22,Male,Information Technology,0,6,0,0,0
23,Male,Mechanical,0,5,1,0,0
22,Male,Civil,0,6.939640935,0,0,0
21,Male,Electrical,0,7,0,0,0
22,Male,Civil,0,6,0,0,0
21,Male,Information Technology,1,6,0,0,0
21,Male,Computer Science,0,6.956351531,0,1,0
19,Male,Computer Science,0,7,0,1,0
22,Male,Computer Science,1,7.029748784,0,0,0
22,Male,Mechanical,0,8.059492867,1,0,1
21,Male,Computer Science,1,7,0,1,1
22,Male,Electrical,0,7,0,0,0
21,Male,Computer Science,2,6,0,0,1
23,Female,Computer Science,1,8,1,0,1
21,Male,Electronics And Communication,1,7,0,1,1
22,Male,Information Technology,2,6.050418197,0,0,1
21,Male,Information Technology,0,6,0,1,0
22,Male,Electronics And Communication,0,7,0,0,0
21,Male,Computer Science,2,8,0,0,1
20,Female,Computer Science,0,7,1,1,1
23,Male,Mechanical,0,6,1,0,0
21,Male,Computer Science,1,7,0,0,0
22,Male,Information Technology,1,7,0,0,0
22,Male,Information Technology,1,8,0,0,1
22,Male,Electrical,2,7,0,0,0
21,Male,Mechanical,0,6,1,0,0
21,Male,Civil,1,5.932486964,0,0,0
21,Female,Information Technology,1,8,0,0,1
21,Male,Computer Science,2,7.033634496,0,0,1
21,Male,Electrical,0,7,0,1,0
20,Female,Information Technology,0,6,0,0,0
22,Male,Computer Science,1,6,0,0,1
20,Male,Mechanical,0,6.036086163,1,0,0
